n1.name,n2.name,r.statistic_score
TMEM35A,PTEN,0.3
TMEM35A,BRCA2,0.3
CIDEA,NAE1,0.5
FHL5,OPRK1,0.3
FHL5,GHRHR,0.3
FHL5,SLC13A1,0.3
FKBP11,NTRK1,0.506
FKBP11,RET,0.506
FKBP11,PDGFRA,0.506
FKBP11,SLC22A1,0.506
FKBP11,ORM1,0.506
FKBP11,PTGS1,0.506
FKBP11,SLC22A2,0.506
FKBP11,PDGFRB,0.506
FKBP11,KIT,0.506
SMURF2,TP53,0.3
SMIM7,NAE1,0.629
SSH3,TSKU,0.2
PSMA4,SMARCB1,0.1775
PSMA4,KRAS,0.6
PSMA4,PSMC2,0.1775
IGFBP7,ITGA5,0.3
IGFBP7,CD109,0.3
B4GALT3,USP21,0.2
MT4,PLAUR,0.3
CUX1,PDGFRA,0.506
CUX1,CYP3A4,0.506
CUX1,PARP1,0.56
CUX1,PTGS1,0.506
CUX1,PIK3CA,0.1775
CUX1,HRAS,0.458
CUX1,CYP2C9,0.506
CUX1,NRAS,0.458
CUX1,ORM1,0.506
CUX1,CYP2D6,0.506
CUX1,KRAS,0.458
CUX1,CYP1A2,0.506
CUX1,KIT,0.506
CUX1,RET,0.506
CUX1,CYP2C19,0.506
CUX1,CYP3A7,0.506
CUX1,PDGFRB,0.506
CUX1,SLC22A2,0.506
CUX1,DDR1,0.506
CUX1,SLC22A1,0.506
CUX1,CYP3A5,0.506
CUX1,NTRK1,0.506
KRAS,UBQLN2,0.515
KRAS,RPL22L1,0.5
KRAS,RPL17,0.6
KRAS,POLD3,0.443
KRAS,GEM,0.6
KRAS,OR1F1,0.449
KRAS,RPIA,0.443
KRAS,KDSR,0.5
KRAS,MTOR,0.461
KRAS,WDR83,0.75
KRAS,AKT2,0.75
KRAS,SIAH2,0.6
KRAS,IMP3,0.5
KRAS,MCM6,0.446
KRAS,SKP1,0.461
KRAS,FAM160A2,0.75
KRAS,DOCK4,0.75
KRAS,LMAN1L,0.44
KRAS,RPL11,0.6
KRAS,MMP23B,0.6
KRAS,HIPK1,0.75
KRAS,STK39,0.75
KRAS,RPL4,0.6
KRAS,SRSF8,0.44
KRAS,MFN1,0.6
KRAS,MRC2,0.5
KRAS,IPMK,0.75
KRAS,EEF1A2,0.6
KRAS,RPL12,0.6
KRAS,RANBP1,0.5
KRAS,TNPO1,0.5
KRAS,GCN1,0.6
KRAS,UFSP1,0.44
KRAS,SMC6,0.5
KRAS,ACADSB,0.5
KRAS,SUB1,0.6
KRAS,PFDN6,0.6
KRAS,PHLDB2,0.5
KRAS,SF3B2,0.6
KRAS,C4orf54,0.75
KRAS,TP53,0.56
KRAS,UTP15,0.6
KRAS,PANK3,0.75
KRAS,ACP4,0.75
KRAS,ATP5F1C,0.5
KRAS,EIF5,0.6
KRAS,HINFP,0.5
KRAS,SNAPC4,0.6
KRAS,TTPAL,0.75
KRAS,GSDMC,0.75
KRAS,THOC7,0.443
KRAS,UXS1,0.6
KRAS,DARS2,0.5
KRAS,TEAD4,0.6
KRAS,MASTL,0.503
KRAS,SULT1A2,0.446
KRAS,GRM5,0.6
KRAS,FXN,0.75
KRAS,RBM14-RBM4,0.5
KRAS,SUGP1,0.467
KRAS,MOS,0.446
KRAS,NUP160,0.488
KRAS,SYTL2,0.75
KRAS,METRNL,0.443
KRAS,NLK,0.75
KRAS,MRPL37,0.5
KRAS,SMURF2,0.455
KRAS,TAF3,0.5
KRAS,GGA3,0.5
KRAS,AFDN,0.4
KRAS,HGF,0.5
KRAS,YY1,0.6
KRAS,OSBPL3,0.6
KRAS,ISG20,0.6
KRAS,GLIS2,0.6
KRAS,ORC2,0.5
KRAS,TTC27,0.6
KRAS,RECQL4,0.4
KRAS,MYCL,0.6
KRAS,DLGAP5,0.6
KRAS,SLC23A2,0.6
KRAS,USP39,0.815
KRAS,RPGRIP1,0.75
